question,answer
the first of three novels,மூன்று நாவல்களில் முதல்
three novels by the nobel,நோபல் மூலம் மூன்று நாவல்கள்
centres around the four notebooks,நான்கு குறிப்பேடுகள் சுற்றி மையங்கள்
the four notebooks in which,இதில் நான்கு குறிப்பேடுகள்
records and deciphers her life,பதிவுகள் மற்றும் அவரது வாழ்க்கையை மறுபவர்கள்
fifth golden notebook in which,இதில் ஐந்தாவது கோல்டன் நோட்புக்
notebook in which she works,அவர் வேலை செய்யும் நோட்புக்
which she works to integrate,அவர் ஒருங்கிணைப்பதற்கு வேலை செய்கிறார்
she works to integrate the,அவர் ஒருங்கிணைக்க வேலை செய்கிறார்
were alone in the london,லண்டனில் தனியாக இருந்தன
alone in the london flat,லண்டன் பிளாட் தனியாக
her life trying to have,அவரது வாழ்க்கை முயற்சி
life trying to have it,வாழ்க்கை அதை முயற்சி
trying to have it all,அது அனைவருக்கும் முயற்சி செய்கிறேன்
the reading life of lessings,படித்தல் வாழ்க்கை முறை
this novel is a touchstone,இந்த நாவல் ஒரு தொடுதல் ஆகும்
novel is a touchstone for,நாவல் ஒரு டச்ஸ்டோன் ஆகும்
read it some five times,அதை ஐந்து முறை படிக்கவும்
some five times over the,சில ஐந்து முறை
five times over the years,ஆண்டுகளில் ஐந்து முறை
the years and am astonished,ஆண்டுகள் மற்றும் ஆச்சரியப்பட்டேன்
and am astonished to find,மற்றும் கண்டுபிடிக்க ஆச்சரியமாக
am astonished to find it,அதை கண்டுபிடிக்க வியந்தேன்
astonished to find it still,அதை இன்னும் கண்டுபிடிக்க ஆச்சரியமாக
to find it still relevant,அதை இன்னும் பொருத்தமாக கண்டுபிடிக்க
memoirs of a survivor ranks,ஒரு சர்வைவர் அணிகளின் நினைவுகள்
a survivor ranks at number,ஒரு உயிர் பிழைத்தவர் எண்
survivor ranks at number 96,சர்வைவர் எண் 96 இல் உள்ளவர்கள்
number 96 in this bbc,இந்த பிபிசி உள்ள எண் 96
96 in this bbc culture,இந்த பிபிசி கலாச்சாரத்தில் 96.
in this bbc culture poll,இந்த பிபிசி கலாச்சாரம் தேர்தலில்
from Australia to Zimbabwe,ஆஸ்திரேலியாவிலிருந்து ஜிம்பாப்வே வரை
We asked each to name the 10 greatest British novels,ஒவ்வொருவரிடமும் 10 சிறந்த பிரிட்டிஷ் நாவல்களுக்கு பெயரிடுமாறு கேட்டோம்
"They live in Willesden, north-west London",அவர்கள் வடமேற்கு லண்டனில் உள்ள வில்லெஸ்டனில் வசிக்கிறார்கள்
they live in america,அவர்கள் அமெரிக்காவில் வாழ்கின்றனர்
him on the first occasion,அவரை முதல் சந்தர்ப்பத்தில்
on the first occasion as,முதல் சந்தர்ப்பத்தில்
first occasion as to name,முதல் சந்தர்ப்பம் பெயர்
ground of is present recognition,தரையில் அங்கீகாரம் உள்ளது
at any rate appeared to,எந்த விகிதத்திலும் தோன்றியது
any rate appeared to prevail,எந்த வீதமும் நிலவும் தோன்றியது
rate appeared to prevail on,விகிதம் வெற்றிகரமாக தோன்றியது
appeared to prevail on her,அவளுக்கு வெற்றி பெற்றது
to prevail on her own,அவள் சொந்தமாக நிலவும்
prevail on her own side,அவரது சொந்த பக்கத்தில் நிலவும்
would only have added to,மட்டுமே சேர்க்க வேண்டும்
have added to the mystery,மர்மம் சேர்க்கப்பட்டுள்ளது
oh yes he replied,ஆமாம் அவர் பதிலளித்தார்
my very wellknown friend,என் மிகவும் நன்றாக இருந்தது
and i supposed he,நான் அவன் என்று கூறினேன்
i supposed he would,நான் அவன் என்று கூறினேன்
but he doesnt come,ஆனால் அவர் வரவில்லை
he doesnt come till,அவர் வரவில்லை
live in a house,ஒரு வீட்டில் வாழ
house near the mountains,மலைகள் அருகே வீடு
i have two brothers,எனக்கு இரண்டு சகோதரர்கள் உள்ளனர்
and i was born,நான் பிறந்தேன்
i was born last,நான் கடந்த பிறந்தேன்
and my mother is,என் அம்மா
my mother is a,என் அம்மா ஏ
mother is a nurse,அம்மா ஒரு செவிலியர்
brothers are very smart,சகோதரர்கள் மிகவும் புத்திசாலி
work hard in school,பள்ளியில் கடினமாக உழைக்க
she is very kind,அவள் மிகவும் அன்பானவள்
also lives with us,எங்களுடன் வாழ்கிறார்
she came from italy,அவள் இத்தாலியில் இருந்து வந்தாள்
when i was two,நான் இருவரும் இருந்தபோது
i was two years,நான் இரண்டு வருடங்கள்
she has grown old,அவள் வயதாகிவிட்டாள்
but she is still,ஆனால் அவள் இன்னும் இருக்கிறாள்
very strong she cooks,மிகவும் வலுவான அவள் சமையல்காரர்கள்
she cooks the best,அவர் சிறந்த சமைக்கிறார்
cooks the best food,சமையல்காரர்கள் சிறந்த உணவு
we do lots of things together,நாங்கள் ஒன்றாக நிறைய விஷயங்களை செய்கிறோம்
my brothers and i like to go on long walks in the mountains,என் சகோதரர்கள் மற்றும் நான் மலைகளில் நீண்ட காலங்களில் செல்ல விரும்புகிறேன்
we laugh and always have a good time,நாங்கள் சிரிக்கிறோம் மற்றும் எப்போதும் ஒரு நல்ல நேரம்
i love my family very much,நான் என் குடும்பத்தை மிகவும் நேசிக்கிறேன்
first i wake up,முதலில் நான் எழுந்தேன்
then i get dressed,பின்பு நான் ஆடையணிந்தேன்
i walk to school,பள்ளிக்கு நான் நடந்து செல்வேன்
i do not ride a bike,நான் ஒரு பைக்கை சவாரி செய்யவில்லை
i do not ride the bus,நான் பஸ்ஸை சவாரி செய்யவில்லை
i like to go to school,நான் பள்ளிக்கு செல்ல விரும்புகிறேன்
it rains,மழையது பெய்கிறது
i do not like rain,நான் மழை பிடிக்கவில்லை
i eat lunch,நான் மதிய உணவு சாப்பிடுகிறேன்
i eat a sandwich and an apple,நான் ஒரு சாண்ட்விச் மற்றும் ஒரு ஆப்பிள் சாப்பிடுகிறேன்
i am 19 and a student in college,நான் 19 மற்றும் கல்லூரியில் ஒரு மாணவர்
i go to college in new york,நான் நியூயார்க்கில் கல்லூரியில் செல்கிறேன்
english is my hardest course,ஆங்கிலம் என் கடினமான பயிற்சி
my professors are very friendly and smart,என் பேராசிரியர்கள் மிகவும் நட்பு மற்றும் புத்திசாலி
its my second year in college now,இப்போது கல்லூரியில் என் இரண்டாவது வருடம்
i love it,நான் அதை நேசிக்கிறேன்
on the weekend we play football together,வார இறுதியில் நாங்கள் கால்பந்து விளையாடுகிறோம்
i have a younger brother,எனக்கு இளைய சகோதரர் இருக்கிறார்
he just started high school,அவர் உயர்நிலை பள்ளி தொடங்கினார்
he is 14 and lives with my parents,அவர் 14 மற்றும் என் பெற்றோருடன் வாழ்கிறார்
they live on mulberry street in boston,அவர்கள் பாஸ்டனில் உள்ள மல்பெரி தெருவில் வாழ்கிறார்கள்
sometimes they visit me in new york,சில நேரங்களில் அவர்கள் என்னை நியூயார்க்கில் பார்க்கிறார்கள்
i am happy when they visit,அவர்கள் வருகையில் நான் சந்தோஷமாக இருக்கிறேன்
my mom always brings me sweets and candy when they come,என் அம்மா எப்பொழுதும் எனக்கு இனிப்புகள் மற்றும் சாக்லேட் செய்கிறாய்
i really miss them too,நான் அவர்களை மிகவும் இழக்கிறேன்
jack was hungry,ஜாக் பசியாக இருந்தார்
he walked to the kitchen,அவர் சமையலறையில் நடந்தார்
he got out some eggs,அவர் சில முட்டைகளை விட்டுவிட்டார்
he took out some oil,அவர் சில எண்ணெயை எடுத்தார்
he placed a skillet on the stove,அவர் அடுப்பில் ஒரு வாணலியில் வைத்தார்
next he turned on the heat,அடுத்த அவர் வெப்பத்தை திரும்பினார்
he poured the oil into the skillet,அவர் வாணலியில் எண்ணெய் ஊற்றினார்
he cracked the eggs into a bowl,அவர் முட்டைகளை ஒரு கிண்ணத்தில் வேகப்படுத்தினார்
he stirred the eggs,அவர் முட்டைகளை தூண்டினார்
then he poured them into the hot skillet,பின்னர் அவர் சூடான வாணலியில் அவர்களை ஊற்றினார்
he waited while the eggs cooked,முட்டைகளை சமைத்தபோது அவர் காத்திருந்தார்
they cooked for two minutes,அவர்கள் இரண்டு நிமிடங்களுக்கு சமைக்கிறார்கள்
he heard them cooking,அவர் அவர்களை சமையல் கேட்டார்
they popped in the oil,அவர்கள் எண்ணெயில் உள்ளனர்
